Afeganistão, Cabul, Ásia
África do Sul, Pretória, África
Albânia, Tirana, Europa
Alemanha, Berlim, Europa
Andorra, Andorra-a-Velha, Europa
Angola, Luanda, África
Antiga e Barbuda, São João, América
Arábia Saudita, Riade, Ásia
Argélia, Argel, África
Argentina, Buenos Aires, América
Arménia, Erevã, Ásia
Austrália, Camberra, Oceania
Áustria, Viena, Europa
Azerbaijão, Baku, Ásia
Bahamas, Nassau, América
Bangladesh, Daca, Ásia
Barbados, Bridgetown, América
Barém, Manama, Ásia
Bélgica, Bruxelas, Europa
Belize, Belmopã, América
Benim, Porto Novo, África
Bielorrússia, Minsk, Europa
Bolívia, Sucre, América
Bósnia e Herzegovina, Sarajevo, Europa
Botswana, Gaborone, África
Brasil, Brasília, América
Brunei, Bandar Seri Begauã, Ásia
Bulgária, Sofia, Europa
Burkina Faso, Uagadugu, África
Burúndi, Bujumbura, África
Butão, Timbu, Ásia
Cabo Verde, Praia, África
Camarões, Iaundé, África
Camboja, Pnom Pene, Ásia
Canadá, Otawa, América
Catar, Doha, Ásia
Cazaquistão, Astana, Ásia
Chade, Jamena, África
Chile, Santiago, América
China, Pequim, Ásia
Chipre, Nicósia, Europa
Colombia, Bogotá, América
Comores, Moroni, África
Congo-Brazzaville, Brazavile, África
Coreia do Norte, Pionguiangue, Ásia
Coreia do Sul, Seoul, Ásia
Kosovo, Pristina, Europa
Costa do Marfim, Iamussucro, África
Costa Rica, São José, América
Croácia, Zagreb, Europa
Kuwait, Kuwait, Ásia
Cuba, Havana, América
Dinamarca, Copenhaga, Europa
Dominica, Roseau, América
Egipto, Cairo, África
Emirados Árabes Unidos, Abu Dhabi, Ásia
Equador, Quito, América
Eritreia, Asmara, África
Eslováquia, Bratislava, Europa
Eslovénia, Liubliana, Europa
Espanha, Madrid, Europa
Estado da Palestina, Jerusalém Oriental, Ásia
Estados Unidos, Washington, América
Estónia, Talim, Europa
Etiópia, Adis Abeba, África
Fiji, Suva, Oceania
Filipinas, Manila, Ásia
Finlândia, Helsínquia, Europa
França, Paris, Europa
Gabão, Libreville, África
